;date;tweets;transaction_fee;transaction_value;number_of_transaction;blocksize;blocktime;marketcap;price;gas_limit;cny_usd;eur_usd;jpy_usd;gold;Oil;Nasdaq;btc_price
0;16/3/16;1185;0,0114;534,581;27596;1316;0,239;1034350358;13,233;4713327;0,1533;1,1222;0,888;1.229,80;38,46;4.763,97;417.0109863281
1;17/3/16;1211;0,011;603,49;33531;1421;0,237;907294186;11,603;4714210;0,1545;1,1317;0,8977;1.265,00;40,2;4.774,98;420.6210021973
2;18/3/16;1123;0,0088;755,711;31821;1403;0,242;798534139;10,208;4713155;0,1545;1,1267;0,8961;1.254,30;39,44;4.795,65;409.5480041504
3;19/3/16;943;0,0135;240,714;34779;1494;0,237;827076523;10,568;4713287;0,1545;1,1267;0,8961;1.254,30;39,44;4.795,65;410.4440002441
4;20/3/16;1304;0,0113;175,207;32447;1446;0,239;800919717;10,23;4713325;0,1545;1,1267;0,8961;1.254,30;39,44;4.795,65;413.7550048828
5;21/3/16;2233;0,011;301,001;32511;1498;0,24;859732317;10,977;4713399;0,1542;1,1239;0,8931;1.244,20;39,91;4.808,87;413.3070068359
6;22/3/16;859;0,00922;241,853;32890;1514;0,237;909201737;11,604;4713157;0,154;1,1214;0,8898;1.248,60;41,45;4.821,66;418.0889892578
7;23/3/16;944;0,0122;213,679;31786;1529;0,241;928689466;11,848;4713319;0,1537;1,1183;0,8896;1.224,00;39,79;4.768,86;418.0409851074
8;24/3/16;1982;0,0128;294,24;36947;1862;0,236;893408861;11,393;4714155;0,1535;1,1173;0,8856;1.221,60;39,46;4.773,51;416.3940124512
9;25/3/16;927;0,0118;162,578;36762;1621;0,237;845885813;10,782;4713540;0,1535;1,1163;0,8842;1.221,60;39,46;4.773,51;417.1770019531
10;26/3/16;712;0,0104;98,614;36646;1538;0,236;850472898;10,837;4722269;0,1535;1,1163;0,8842;1.221,60;39,46;4.773,51;417.9450073242
11;27/3/16;716;0,00685;418,216;29974;1261;0,238;838803949;10,684;4713640;0,1535;1,1163;0,8842;1.221,60;39,46;4.773,51;426.7650146484
12;28/3/16;1298;0,00878;264,113;33613;1568;0,24;878929194;11,19;4713570;0,1537;1,1193;0,8812;1.220,10;39,39;4.766,79;424.2309875488
13;29/3/16;1589;0,00815;440,588;33915;1389;0,24;908076440;11,557;4713614;0,1537;1,1289;0,8872;1.235,80;38,28;4.846,62;416.5159912109
14;30/3/16;1745;0,012;438,349;36767;1572;0,238;927489228;11,799;4713691;0,1547;1,1336;0,8894;1.228,60;38,32;4.869,29;414.8160095215
15;31/3/16;988;0,00912;327,259;32259;1405;0,239;924364010;11,754;4713832;0,155;1,1378;0,8882;1.235,60;38,34;4.869,85;416.7290039063
16;1/4/16;830;0,00844;133,316;33320;1493;0,237;913257928;11,609;4713679;0,1543;1,1386;0,8954;1.223,50;36,79;4.914,54;417.9599914551
